"announcement","size","date","time","pdf"
"NIC Bonus Issue  Notice.pdf","0.09MB","2022/06/28","10:30:21","https://www.use.or.ug/uploads/announcements/NIC%20Bonus%20Issue%20%20Notice.pdf"
"Stanbic Uganda Holdings FY 2020 Financials.pdf","3.17MB","2021/03/31","09:43:47","https://www.use.or.ug/uploads/announcements/Stanbic%20Uganda%20Holdings%20FY%202020%20Financials.pdf"
"IM final updated online version  02 Sept.pdf","5.92MB","2017/09/04","04:00:31","https://www.use.or.ug/uploads/announcements/IM_final_updated%20online%20version_%2002%20Sept.pdf"
"EQUITY GROUP HOLDINGS PLC UNAUDITED FINANCIAL STATEMENTS FOR THE PERIOD ENDED 30th JUNE, 2023.pdf","0.22MB","2023/08/15","10:39:14","https://www.use.or.ug/uploads/announcements/EQUITY%20GROUP%20HOLDINGS%20PLC%20UNAUDITED%20FINANCIAL%20STATEMENTS%20FOR%20THE%20PERIOD%20ENDED%2030th%20JUNE,%202023.pdf"
"MTN UGANDA LIMITED PROXY FORM.pdf","0.08MB","2022/05/06","09:25:29","https://www.use.or.ug/uploads/announcements/MTN%20UGANDA%20LIMITED%20PROXY%20FORM.pdf"
"BOBU PROXY.pdf","0.23MB","2022/06/24","10:45:20","https://www.use.or.ug/uploads/announcements/BOBU%20PROXY.pdf"
"Umeme AGM Notice 25Apr2022 (1).pdf","0.75MB","2022/04/27","04:16:24","https://www.use.or.ug/uploads/announcements/Umeme%20AGM%20Notice_25Apr2022%20(1).pdf"
"STANBIC UGANDA BOOK CLOSURE AND DIVIDEND PAYMENT.jpg","0.81MB","2023/09/06","11:10:00","https://www.use.or.ug/uploads/announcements/STANBIC%20UGANDA%20BOOK%20CLOSURE%20AND%20DIVIDEND%20PAYMENT.jpg"
"New Vision Board appointment Jan 2016.pdf","0.03MB","2016/03/23","12:43:09","https://www.use.or.ug/uploads/announcements/New%20Vision%20Board%20appointment%20Jan%202016.pdf"
"BAT UGANDA - AGM NOTICE - 2022.pdf","0.03MB","2022/05/25","03:49:01","https://www.use.or.ug/uploads/announcements/BAT%20UGANDA%20-%20AGM%20NOTICE%20-%202022.pdf"
"BATU Proxy Form 2015.pdf","0.12MB","2016/04/29","05:11:06","https://www.use.or.ug/uploads/announcements/BATU%20Proxy%20Form%202015.pdf"
"Market Performance in 2022 Second Quarter","1.35MB","2022/07/28","03:34:10","https://www.use.or.ug/uploads/announcements/Market%20Performance%20in%202022%20Second%20Quarter"
"NMG Share Buyback Announcement 26 June 2021.pdf","0.41MB","2021/06/29","10:36:11","https://www.use.or.ug/uploads/announcements/NMG%20Share%20Buyback%20Announcement%2026%20June%202021.pdf"
"NIC Holdings Limited 2022 Audited Financial Statements and Notice of 22nd AGM.pdf","0.48MB","2023/05/31","04:17:52","https://www.use.or.ug/uploads/announcements/NIC%20Holdings%20Limited%202022%20Audited%20Financial%20Statements%20and%20Notice%20of%2022nd%20AGM.pdf"
"Kenya Airways Staff Rationalisation.pdf","0.17MB","2016/04/05","12:51:20","https://www.use.or.ug/uploads/announcements/Kenya%20Airways%20Staff%20Rationalisation.pdf"
"DFCU LTD Financials -Half Year-June 2023.pdf","2.38MB","2023/08/24","10:42:25","https://www.use.or.ug/uploads/announcements/DFCU%20LTD%20Financials%20-Half%20Year-June%202023.pdf"
"Nation Media Group Annual General Meeting Notice.pdf","0.66MB","2018/07/26","08:32:50","https://www.use.or.ug/uploads/announcements/Nation%20Media%20Group%20Annual%20General%20Meeting%20Notice.pdf"
"SHUL FINANCIALS 2022.pdf","8.07MB","2023/03/31","11:14:55","https://www.use.or.ug/uploads/announcements/SHUL%20FINANCIALS%202022.pdf"
"EABL HALF YEAR RESULTS 2021.pdf","0.12MB","2022/01/28","11:35:31","https://www.use.or.ug/uploads/announcements/EABL%20HALF%20YEAR%20RESULTS%202021.pdf"
"CiplaQCiL Half Year  Results 2018.pdf","2.57MB","2018/11/23","10:20:01","https://www.use.or.ug/uploads/announcements/CiplaQCiL%20Half%20Year%20%20Results%202018.pdf"
"BOBU Financials FY 2020.pdf","0.49MB","2021/04/30","09:28:56","https://www.use.or.ug/uploads/announcements/BOBU%20Financials%20FY%202020.pdf"
"Stanbic Bank Uganda Half Year Results 2018.pdf","0.60MB","2018/08/08","10:13:31","https://www.use.or.ug/uploads/announcements/Stanbic%20Bank%20Uganda%20Half%20Year%20Results%202018.pdf"
"dfcu Limited - CEO Notice Advert.pdf","0.17MB","2023/04/11","09:45:47","https://www.use.or.ug/uploads/announcements/dfcu%20Limited%20-%20CEO%20Notice%20Advert.pdf"
"EQUITY GROUP HOLDINGS  Plc - 2022 FINANCIALS.pdf","0.53MB","2023/03/28","10:31:02","https://www.use.or.ug/uploads/announcements/EQUITY%20GROUP%20HOLDINGS%20%20Plc%20-%202022%20FINANCIALS.pdf"
"DFCU AGM Notice 2022.pdf","0.16MB","2022/07/06","03:10:00","https://www.use.or.ug/uploads/announcements/DFCU%20AGM%20Notice%202022.pdf"
"DFCU AGM Notice 2021.pdf","0.15MB","2021/07/28","11:10:29","https://www.use.or.ug/uploads/announcements/DFCU%20AGM%20Notice%202021.pdf"
"New Vision  Financial Statements June 2021 Published.pdf","0.51MB","2021/11/03","09:57:12","https://www.use.or.ug/uploads/announcements/New%20Vision%20%20Financial%20Statements%20June%202021%20Published.pdf"
"BATU AGM Notice.pdf","0.20MB","2016/04/29","05:11:24","https://www.use.or.ug/uploads/announcements/BATU%20AGM%20Notice.pdf"
